h,TRUE,BIAS,SDEV,RMSE,CF95,CF95Length 
0.00,2.86605,0.0069301718593322,0.471794429912998,0.471845325693633,0.9345,1.49665467558449 
0.01,2.86605,0.000456905733852597,0.393898669106841,0.393898934102378,0.9405,1.45143730477497 
0.02,2.86605,-0.00693379761552437,0.394930526581567,0.394991390254733,0.938,1.50374107887903 
0.03,2.86605,-0.0129388826641734,0.431899918694645,0.432093687124723,0.939,1.60485121781541 
0.04,2.86605,-0.0233843848558197,0.464410390984261,0.464998753449124,0.936,1.71182228495935 
0.05,2.86605,-0.0207820757532589,0.474418522943697,0.474873487978318,0.945,1.80571468730482 
0.06,2.86605,-0.00472647380195079,0.50590455849695,0.50592663683838,0.9405,1.8924159911526 
0.07,2.86605,0.0116264319840602,0.493577021238375,0.493713935204616,0.954,1.97568563337779 
0.08,2.86605,-0.00892862798140737,0.53584011833363,0.535914501402443,0.938,2.01802700699862 
0.09,2.86605,-0.0279082691978756,0.546075977536517,0.546788665511717,0.9465,2.05203701275401 
0.10,2.86605,-0.00447610207052218,0.563602585857154,0.563620360060401,0.9335,2.07735681849125 
